,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14
Transport,"6,558.47","5,987.82","6,087.52","4,249.54","3,560.93","4,158.17","3,022.55","2,999.59","3,278.09","3,624.52"
Police,528.02,345.39,228.49,370.85,198.24,359.07,218.05,267.61,337.98,335.5
Rural Development,"1,369.41","1,293.85",934.75,"1,297.89","1,299.42","1,206.40","1,182.54","1,204.49","1,165.37",990.85
"Welfare of SCs, STs, OBCs and Minorities",918.97,857.92,755.09,634.99,637.4,245.46,262.41,359.58,407.03,260.45
Social Welfare & Nutrition,33.27,29.91,19.88,84.14,53.55,22.28,-109.77,70.9,105.12,208.58
Tourism,834.48,"1,519.21",812.8,483.05,557.25,464.37,440.1,458.41,464.65,449.44
Others,460.24,270.49,474.91,293.56,"1,053.97",317.53,368.61,382.7,556.07,573.31
Haryana (Total),"14,127.01","12,011.81","6,795.40","18,975.18","16,062.24","14,932.79","11,378.01","20,158.62","4,558.40","4,710.21"
"Education, Sports, Art & Culture","1,048.49",578.6,409.32,388.28,396.27,403.65,141.75,202.16,186.07,158.99
Health & Family Welfare,"1,404.39",895.7,766.37,510.17,332.83,302.22,244.19,35.2,64.87,49.83
Water Supply and Sanitation,"1,049.75","1,693.09",944.12,"1,173.72","1,464.96","1,169.20",941.7,835.42,959.96,"1,077.37"
Housing & Urban Development,970.97,"2,118.69",650.38,979.14,"1,388.83","1,053.22",68.2,298.09,458.28,423.26
Public Works,357.19,414.53,227.11,354.96,458.66,255.05,188.66,232.46,170.54,152.41
Irrigation and Flood Control,"2,171.19","1,807.53","1,365.75","1,400.82","1,274.38",973.55,926.31,876.21,965.33,908.3
Energy ,10.83,10.36,583.24,"5,990.26","5,553.08","6,341.91","5,541.81","13,864.33",185.06,390.95
Agriculture & Allied Activities,699.88,148.89,"-1,074.02","4,741.23","2,048.65","1,506.83",889.59,449.98,-830.27,"-1,034.17"
Industries & Minerals,819.08,673.55,484.69,828.85,416.07,232.24,324.2,658.61,206.22,166.05
Transport,"4,391.39","2,823.87","1,513.34","1,819.45","1,766.80","1,782.31","1,588.40","2,011.20","1,517.31","1,869.48"
Police,195.62,137.19,160.37,229.7,255.8,225.85,210.59,227.65,120.16,129.75
Rural Development,478,134.83,187.17,28.74,5.34,0.33,0.39,0.58,0.69,0.94
"Welfare of SCs, STs, OBCs and Minorities",0.45, -   ,0.48,2.5,6.03,3.5,3.07,2.24,1.25,1.25
Social Welfare & Nutrition,81.33,62.02,64.55,22.08,98.2,65.4,79.39,57.45,56.84,1.93
Tourism,78.86,19.9,28.28,28.85,24.05,16.72,36.45,21.96,29.51,20.29
Others,369.59,493.06,484.25,476.43,572.29,600.81,193.31,385.08,466.58,393.58
Himachal Pradesh (Total),"6,139.46","6,407.35","5,629.33","5,632.12","5,051.39","4,258.20","6,788.72","3,327.65","2,947.09","2,386.91"
"Education, Sports, Art & Culture",411.24,489.47,357.14,286.69,328.9,342.56,296.73,299.3,132.96,176.76
Health & Family Welfare,551.63,293.82,302.05,231.78,345.61,262.86,285.53,117.22,62.27,72.91
Water Supply and Sanitation,812.05,"1,011.88","1,001.51",598.92,417.69,461.58,392.57,317.98,289.07,190.79
Housing & Urban Development,173.54,101.2,64.89,127.85,74.68,61.85,41.15,36.41,20.85,19.77
Public Works,185.78,274.34,115.7,124.93,139.06,133.83,153.4,61.45,52.61,48.92
Irrigation and Flood Control,338.28,312.5,386.65,735.74,464.63,251.47,201.37,142.22,506.08,194.22
Energy ,198.9,498.39,451.3,677.69,665.93,604.7,"3,431.59",677.26,712.34,686.97
Agriculture & Allied Activities,95.63,93.89,151.65,96.05,112.8,128.16,90.24,74.09,77.6,83.7
Industries & Minerals,198.28,122.74,20.1,33.85,50.53,78.27,69.38,75.98,55.79,32.31
Transport,"2,664.21","2,602.46","2,521.96","2,434.92","2,084.70","1,694.47","1,583.61","1,327.14",892.74,740.05
Police,93.41,98.88,45.28,62.4,65.67,45.4,42.35,22.71,27.21,28.48
Rural Development,41.71,38.53,10.36,13.11,16.01,2.26,3.49,4.61,0.63, -   
"Welfare of SCs, STs, OBCs and Minorities",6.44,12.66,6.03,6.16,10.15,5.29,8.64,6.98,9.69,14.32
Social Welfare & Nutrition,5.26,14.4,3.26,6.64,9.7,7.92,15.92,12.9,7.82,5.05
Tourism,89.09,89.8,30,33.69,53.86,2.64,3.76,5.05,2.22,2.03
Others,274.01,352.39,161.45,161.7,211.47,174.94,168.99,146.35,97.21,90.63
Jharkhand  (Total),"18,226.76","10,839.87","11,845.42","10,044.14","12,197.30","13,804.38","12,195.75","15,638.51","6,366.72","4,944.41"
"Education, Sports, Art & Culture","1,011.79",94.34,94.87,258.13,356.38,360.27,253.5,103.39,82.97,145.21
Health & Family Welfare,624.5,488.68,586.13,347.69,273.39,309.49,511.55,339.87,260.97,166.18
Water Supply and Sanitation,"1,840.08",505.11,438.3,538.73,400.13,332.26,220.97,193.07,139.22,321.02
